分类: 📺央视频道, 名称: CCTV-1, 总数: 7, 有效: 5, 有效率: 71.43%, IPv4: 6, IPv6: 1, 最小延迟: 306 ms, 最高速率: 8.32 M/s, 平均速率: 3.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-2, 总数: 8, 有效: 6, 有效率: 75.00%, IPv4: 7, IPv6: 1, 最小延迟: 163 ms, 最高速率: 7.45 M/s, 平均速率: 5.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-3, 总数: 6, 有效: 4, 有效率: 66.67%, IPv4: 5, IPv6: 1, 最小延迟: 383 ms, 最高速率: 9.62 M/s, 平均速率: 7.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-4, 总数: 7, 有效: 5, 有效率: 71.43%, IPv4: 6, IPv6: 1, 最小延迟: 166 ms, 最高速率: 9.47 M/s, 平均速率: 5.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 总数: 23, 有效: 6, 有效率: 26.09%, IPv4: 7, IPv6: 16, 最小延迟: 343 ms, 最高速率: 9.16 M/s, 平均速率: 5.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 总数: 7, 有效: 5, 有效率: 71.43%, IPv4: 6, IPv6: 1, 最小延迟: 328 ms, 最高速率: 8.18 M/s, 平均速率: 4.24 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-7, 总数: 9, 有效: 6, 有效率: 66.67%, IPv4: 8, IPv6: 1, 最小延迟: 149 ms, 最高速率: 9.97 M/s, 平均速率: 4.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 总数: 8, 有效: 6, 有效率: 75.00%, IPv4: 7, IPv6: 1, 最小延迟: 165 ms, 最高速率: 7.08 M/s, 平均速率: 5.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-9, 总数: 7, 有效: 5, 有效率: 71.43%, IPv4: 6, IPv6: 1, 最小延迟: 420 ms, 最高速率: 10.83 M/s, 平均速率: 7.02 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-11, 总数: 8, 有效: 6, 有效率: 75.00%, IPv4: 7, IPv6: 1, 最小延迟: 153 ms, 最高速率: 10.38 M/s, 平均速率: 6.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-10, 总数: 8, 有效: 6, 有效率: 75.00%, IPv4: 7, IPv6: 1, 最小延迟: 194 ms, 最高速率: 5.37 M/s, 平均速率: 4.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-12, 总数: 8, 有效: 6, 有效率: 75.00%, IPv4: 7, IPv6: 1, 最小延迟: 253 ms, 最高速率: 10.81 M/s, 平均速率: 4.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
